통계표명:,소비자물가상승률,,,,,,,
단위:,"전년비,전년동월비, %",,,,,,,
,물가상승률,,,,,,,
,소비자물가,,,,,,,
200001월,1.9,6.3,1.9,-3.3,5.9,0.2,1.1,3.6
200002월,1.8,4.4,1.8,-2.7,6.5,0.6,1.1,3.5
200003월,2.1,2.8,1.9,-2.2,6.2,1.8,1.5,4.0
200004월,1.4,-0.8,0.9,-1.6,6.6,2.2,1.6,2.8
200005월,1.1,-1.9,0.5,-1.0,5.0,2.2,1.5,1.8
200006월,2.2,2.2,1.6,-0.5,5.5,2.4,1.6,3.4
200007월,3.0,5.9,1.5,-0.2,6.5,2.5,2.0,4.6
200008월,2.4,0.5,1.9,0.4,7.6,2.5,2.1,3.8
200009월,3.5,6.7,2.2,0.8,9.3,2.5,2.5,5.4
200010월,2.6,1.8,1.4,1.3,9.0,2.6,2.3,3.9
200011월,2.2,-2.1,1.1,1.7,8.2,2.6,2.3,3.1
200012월,2.8,-2.3,2.4,2.2,9.1,2.6,2.9,4.2
200101월,3.4,-0.6,3.1,2.5,9.0,2.8,3.2,4.9
200102월,3.6,-0.4,3.4,2.4,8.9,3.0,3.2,4.9
200103월,4.0,4.1,3.1,2.7,8.5,3.1,3.3,5.2
200104월,4.8,8.2,4.2,3.3,8.0,3.2,3.6,6.4
200105월,5.3,8.5,4.3,3.6,10.5,3.2,4.1,7.1
200106월,5.0,9.8,3.2,4.3,10.0,3.1,4.1,6.9
200107월,4.8,9.7,3.3,4.6,8.3,3.0,3.8,6.3
200108월,4.7,11.9,2.5,4.7,7.2,3.2,3.7,6.0
200109월,3.3,3.0,1.8,4.8,5.7,3.2,3.5,3.4
200110월,3.4,5.5,1.3,5.0,5.4,3.2,3.6,3.6
200111월,3.4,7.2,1.3,5.3,4.5,3.2,3.7,3.7
200112월,3.2,9.5,0.0,5.7,3.7,3.4,3.6,3.0
200201월,2.6,8.3,-0.3,5.8,1.3,3.3,2.9,2.4
200202월,2.6,11.2,0.2,6.1,-1.2,3.2,3.0,2.4
200203월,2.3,5.8,0.5,6.1,-1.1,3.4,3.0,2.0
200204월,2.5,5.4,1.1,5.9,-1.3,3.5,3.0,2.2
200205월,3.0,9.2,1.4,6.1,-1.5,3.6,3.0,3.1
200206월,2.6,6.1,1.5,5.7,-2.1,3.7,2.9,2.3
200207월,2.1,2.0,1.3,5.7,-1.8,3.9,3.0,1.4
200208월,2.4,3.2,1.5,5.7,-1.9,3.9,2.8,1.8
200209월,3.1,8.6,1.9,5.8,-1.9,3.9,2.9,3.0
200210월,2.8,2.6,2.9,5.8,-1.8,3.9,3.0,2.2
200211월,3.5,6.0,3.6,5.4,-1.5,4.0,3.1,3.2
200212월,3.7,6.9,4.1,4.8,-0.8,3.9,3.1,3.7
200301월,3.8,6.8,4.2,4.6,-0.3,4.2,3.1,4.0
200302월,3.9,3.8,4.5,4.4,1.2,4.1,3.0,4.2
200303월,4.5,7.9,4.8,4.3,2.4,4.3,3.4,5.5
200304월,3.7,5.4,2.9,4.0,3.1,4.3,3.2,4.3
200305월,3.2,1.9,2.5,3.8,2.8,4.4,3.1,3.1
200306월,3.0,1.0,2.0,3.6,3.6,4.4,3.3,3.1
200307월,3.2,3.4,1.8,3.3,3.7,4.6,3.1,3.7
200308월,3.0,2.1,1.9,3.2,3.4,4.6,3.2,3.5
