통계표명:,환율
단위:,원/달러
,환율
,원/달러
200001월,"1,123.2"
200002월,"1,131.0"
200003월,"1,106.0"
200004월,"1,109.1"
200005월,"1,129.4"
200006월,"1,115.0"
200007월,"1,116.7"
200008월,"1,108.8"
200009월,"1,115.1"
200010월,"1,139.0"
200011월,"1,214.3"
200012월,"1,264.5"
200101월,"1,259.0"
200102월,"1,250.8"
200103월,"1,327.5"
200104월,"1,319.7"
200105월,"1,282.7"
200106월,"1,297.5"
200107월,"1,300.0"
200108월,"1,278.0"
200109월,"1,309.6"
200110월,"1,296.1"
200111월,"1,273.0"
200112월,"1,313.5"
200201월,"1,314.4"
200202월,"1,323.8"
200203월,"1,325.9"
200204월,"1,294.0"
200205월,"1,226.3"
200206월,"1,201.3"
200207월,"1,188.0"
200208월,"1,201.9"
200209월,"1,227.8"
200210월,"1,221.6"
200211월,"1,208.8"
200212월,"1,186.2"
200301월,"1,070.1"
200302월,"1,193.7"
200303월,"1,254.6"
200304월,"1,215.3"
200305월,"1,205.9"
200306월,"1,293.0"
200307월,"1,179.7"
200308월,"1,178.2"
200309월,"1,150.1"
200310월,"1,183.1"
200311월,"1,202.1"
200312월,"1,192.6"
200401월,"1,173.7"
200402월,"1,176.2"
200403월,"1,146.6"
200404월,"1,173.3"
200405월,"1,160.1"
200406월,"1,155.5"
200407월,"1,170.0"
200408월,"1,153.0"
200409월,"1,151.8"
200410월,"1,119.6"
200411월,"1,048.2"
200412월,"1,035.1"
200501월,"1,025.6"
200502월,"1,006.0"
200503월,"1,015.5"
200504월,"1,002.8"
200505월,"1,007.7"
200506월,"1,025.4"
200507월,"1,026.8"
200508월,"1,038.5"
200509월,"1,041.1"
200510월,"1,040.2"
200511월,"1,033.5"
200512월,"1,011.6"
200601월,964.6
200602월,970.9
200603월,971.6
200604월,943.4
200605월,945.6
200606월,948.9
200607월,955.2
200608월,961.4
200609월,946.2
200610월,942.3
200611월,929.5
200612월,929.8
200701월,941.0
200702월,941.8
200703월,940.9
200704월,930.8
200705월,927.7
200706월,923.8
200707월,919.3
200708월,938.3
200709월,915.1
200710월,900.7
200711월,921.1
200712월,936.1
200801월,943.9
200802월,939.0
200803월,990.4
200804월,"1,002.6"
200805월,"1,030.1"
200806월,"1,046.0"
